player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
David Daniel-Sisavanh,146723,S,TROY,14,5,16.9,50.0,99.7,21.5,10.8,1,0,3,8.8,318,50.3,52.7,0.0,78.9,62.6,34.1,0,46,33.3,11,3,4,96.7,17,392,393,5,17,34,2,272,39,0.7,16.0
Xavian Sorey Jr.,146724,LB,ARKANSAS,12,2,5.3,66.7,54.3,13.1,8.8,0,1,1,4.8,111,47.2,50.3,0.0,71.0,49.3,43.2,1,26,22.7,5,1,6,94.7,14,197,363,8,15,21,2,127,89,0.7,9.1
Marlin Dean,146729,ED,GA STATE,11,0,1.0,100.0,14.7,10.3,10.3,0,0,0,0.0,175,65.2,65.1,11.3,77.3,56.3,65.5,0,8,42.9,3,0,4,87.5,3,31,211,2,4,3,0,15,12,0.5,5.0
Jordan Lovett,146745,S,KENTUCKY,9,2,11.8,78.9,96.9,15.9,12.5,0,0,0,0.0,202,52.2,55.9,85.7,46.2,64.8,52.9,2,55,18.5,5,0,0,110.2,15,247,255,3,20,19,2,219,90,0.9,14.6
Sage Ryan,146776,S,OLE MISS,15,4,5.8,72.7,98.6,13.3,9.6,0,1,4,12.1,226,62.5,61.9,46.4,66.2,59.8,49.5,0,18,18.2,4,4,2,126.0,24,340,345,6,14,33,4,188,86,0.6,7.8
Zavier Carter,146777,ED,GA STATE,6,2,3.0,100.0,18.5,10.0,10.0,0,0,0,0.0,175,63.4,65.1,84.3,64.4,62.0,82.8,0,9,0.0,0,0,0,104.2,1,10,54,0,1,1,0,9,6,0.9,9.0
Damarius McGhee,146778,CB,FAU,11,2,13.0,47.4,100.0,21.4,10.2,0,0,6,31.6,165,69.9,68.2,83.1,,59.0,51.4,0,14,25.0,5,4,1,72.3,9,202,202,4,13,19,1,60,28,0.3,6.7
Gabe Leonards,146793,LB,LSU,1,0,,,66.7,,,0,0,0,,211,60.2,73.3,67.5,63.3,,,0,,,0,0,0,0.0,0,2,3,0,0,0,0,0,0,0.0,
Demarko Williams,146825,CB,W KENTUCKY,7,2,10.6,50.0,95.2,13.5,6.8,0,0,1,4.2,346,66.0,65.2,87.2,74.1,54.4,49.2,0,71,28.6,4,1,2,88.5,12,178,187,6,8,24,1,178,118,1.1,14.8
Kyndrich Breedlove,146827,CB,ARIZONA ST,13,0,7.0,72.3,96.5,9.9,7.1,1,0,5,10.6,110,58.2,60.4,9.3,64.6,70.9,52.7,0,90,28.6,8,5,3,124.2,34,359,372,7,20,47,2,537,319,1.6,15.8
Taleeq Robbins,146829,DI,TROY,14,0,,,0.5,,,0,0,0,,318,63.1,64.0,83.9,55.4,65.8,64.6,0,,40.0,2,0,0,0.0,0,1,194,3,3,0,0,0,0,0.0,
JJ Hawkins,146833,ED,SO MISS,13,1,,,5.7,,,0,0,0,,296,87.4,71.9,33.5,70.7,65.2,40.1,1,,80.0,4,0,2,0.0,0,11,192,3,0,0,0,0,0,0.0,
John Lewis,146852,LB,W VIRGINIA,5,0,0.0,75.0,54.5,9.3,7.0,0,0,0,0.0,343,69.6,73.9,80.6,73.0,67.1,69.4,0,4,0.0,0,0,0,77.1,3,30,55,3,2,4,0,6,5,0.2,2.0
Nic Mitchell,146854,LB,MISS STATE,13,6,3.3,78.1,82.0,9.0,7.1,0,0,0,0.0,227,62.5,65.2,52.4,66.3,65.9,73.2,1,38,11.1,3,0,1,88.0,25,242,295,12,18,32,1,184,95,0.8,7.4
Ty Cooper,146856,ED,TULSA,12,3,-5.5,100.0,8.5,8.0,8.0,0,0,0,0.0,320,79.2,66.4,66.1,63.7,61.5,56.6,0,4,14.3,1,0,1,83.3,2,16,188,5,3,2,0,8,19,0.5,4.0
Eldric Griffin,146859,S,LIBERTY,11,1,10.3,33.3,95.2,47.5,15.8,0,0,0,0.0,206,69.9,67.7,81.3,56.6,63.8,64.9,1,8,0.0,0,0,0,2.8,2,100,105,0,2,6,0,13,13,0.1,6.5
Deonte Anderson,146861,ED,MISS STATE,12,0,,,0.9,,,0,0,0,,227,60.6,53.6,21.1,58.1,54.1,44.3,0,,25.0,1,0,2,0.0,0,1,111,3,3,0,0,0,0,0.0,
Dameon Wilson,146884,LB,E CAROLINA,12,4,4.5,80.6,80.9,9.2,7.5,0,0,2,6.5,156,29.5,48.3,48.3,54.1,68.0,35.3,0,21,48.3,14,1,2,116.0,25,246,304,2,11,31,2,207,128,0.9,8.3
Daylan Carnell,146885,CB,MISSOURI,13,1,5.5,65.2,94.8,10.2,6.6,0,1,4,8.7,229,73.1,70.7,87.6,53.1,65.7,65.4,1,50,20.0,6,4,1,69.8,30,326,344,12,23,46,0,248,168,0.8,8.3
Zachary Lovett,146889,LB,IOWA STATE,10,1,5.3,50.0,78.3,22.5,11.3,0,0,0,0.0,193,60.7,67.1,80.6,57.7,74.0,65.4,0,21,50.0,1,0,0,71.9,2,47,60,0,0,4,0,27,15,0.6,13.5
Darius Jackson,146892,S,TEXAS ST,7,0,0.3,100.0,87.5,6.7,6.7,0,0,0,0.0,314,50.9,50.2,0.0,59.6,59.9,48.1,0,25,0.0,0,0,1,118.8,3,21,24,0,1,3,0,40,39,2.0,13.3
Arden Walker,146893,ED,COLORADO,11,1,,,3.4,,,0,0,0,,143,72.5,70.4,57.3,72.1,66.0,59.9,0,,33.3,1,0,2,0.0,0,8,238,3,1,0,0,0,0,0.0,
Kolbe Fields,146919,LB,LA TECH,5,1,4.7,73.3,75.3,12.1,8.9,0,0,0,0.0,208,81.6,78.3,83.8,57.1,78.0,76.3,2,17,14.3,2,0,0,41.9,11,140,186,7,11,15,0,66,50,0.5,6.0
Ronnie Porter,146922,LB,APP STATE,5,1,7.2,66.7,89.4,6.8,4.6,0,0,1,11.1,108,32.8,46.6,77.2,64.5,69.1,56.5,0,37,0.0,0,1,0,96.5,6,42,47,2,2,9,0,84,44,2.0,14.0
Nick Barrett,146926,DI,S CAROLINA,12,1,,,1.2,,,0,0,0,,289,57.1,76.2,85.8,60.1,82.9,48.6,0,,0.0,0,0,0,0.0,0,3,253,3,3,0,0,0,0,0.0,
Christian Charles,146944,S,VIRGINIA,13,3,9.8,64.3,95.0,22.4,14.4,0,2,5,35.7,335,86.5,78.9,84.7,72.8,53.8,65.6,0,16,0.0,0,5,0,74.1,9,210,221,7,18,14,0,62,19,0.3,6.9
De'Shawn Rucker,146945,CB,USF,13,3,11.4,58.5,99.3,12.1,7.1,1,1,4,7.5,327,64.3,63.0,45.6,59.5,60.4,51.8,1,27,19.1,9,4,6,76.1,31,404,407,10,35,53,1,341,106,0.9,11.0
John Howse IV,146966,S,MIDDLE TN,4,0,11.0,100.0,97.2,20.0,20.0,0,0,0,0.0,224,65.5,62.0,80.7,76.6,51.4,47.6,0,19,0.0,0,0,0,158.3,5,103,106,4,5,5,1,64,18,0.6,12.8
Miles Capers,146967,ED,VANDERBILT,13,3,4.9,100.0,17.3,6.0,6.0,0,0,0,0.0,333,55.0,68.0,34.3,68.4,72.3,64.4,0,18,36.4,4,0,3,102.8,9,55,318,6,4,9,0,78,34,1.4,8.7
Marlen Sewell,146968,S,VANDERBILT,13,3,8.4,78.3,98.1,16.3,12.8,0,0,2,8.7,333,65.9,65.3,88.4,67.8,60.1,63.2,0,51,13.3,4,2,1,136.1,18,310,316,7,23,23,2,223,99,0.8,12.4
James Ziglor,146970,CB,KENNESAW,6,0,8.5,100.0,78.6,4.5,4.5,0,0,0,0.0,200,50.9,43.9,79.8,57.7,41.2,76.9,0,17,,0,0,0,118.8,2,11,14,0,0,2,0,27,10,3.0,13.5
Devin Lee,146975,DI,USF,13,0,,,0.8,,,0,0,0,,327,58.1,73.6,32.1,64.0,79.7,58.2,0,,50.0,1,0,3,0.0,0,2,236,2,1,0,0,0,0,0.0,
Marcus Bradley,146977,ED,ARK STATE,8,1,1.0,100.0,26.1,6.0,6.0,0,0,0,0.0,113,60.1,61.2,81.1,56.2,63.7,69.8,0,18,0.0,0,0,0,154.2,2,12,46,1,2,2,1,23,21,1.9,11.5
Tunmise Adeleye,146982,ED,UNLV,13,1,-2.0,100.0,1.8,6.0,6.0,2,0,0,0.0,325,70.3,70.5,0.0,77.9,68.5,69.2,0,6,22.2,2,0,9,91.7,1,6,325,7,6,1,0,6,8,1.0,6.0
Marcus Burris Jr.,146987,ED,MEMPHIS,9,0,,,2.5,,,0,0,0,,218,60.0,49.8,78.2,55.7,46.6,17.6,0,,,0,0,0,0.0,0,1,40,0,0,0,0,0,0,0.0,
Tyreek Chappell,146989,CB,TEXAS A&M,13,1,7.3,67.3,97.1,9.4,6.3,0,2,3,6.1,312,61.3,63.2,90.7,75.2,63.1,62.6,0,36,17.4,4,3,3,92.0,33,337,347,6,18,49,1,317,188,1.0,9.6
Jardin Gilbert,146997,S,LSU,5,1,1.1,87.5,86.2,7.6,6.6,0,0,0,0.0,211,58.3,61.4,78.7,61.1,66.1,62.5,0,12,28.6,2,0,0,93.8,7,56,65,2,4,8,0,52,42,1.0,7.4
Deuce Harmon,146998,CB,SMU,13,4,12.1,61.7,97.8,15.7,9.7,0,0,7,14.9,287,75.7,76.0,87.5,55.2,73.8,80.8,0,62,6.5,2,6,2,105.1,29,484,495,2,25,47,2,422,130,0.9,14.6
Elijah Jeudy,147001,DI,NEBRASKA,13,2,,,2.8,,,1,0,0,,238,58.3,54.1,16.2,57.6,57.1,73.2,0,,20.0,1,0,4,0.0,0,6,214,3,2,0,0,0,0,0.0,
Drey Norwood,147007,CB,MISSOURI,13,2,11.5,50.0,100.0,16.9,8.5,0,1,6,17.6,229,80.7,81.4,84.5,,77.5,81.7,0,48,0.0,0,4,1,104.8,17,307,307,4,16,34,3,258,126,0.9,15.2
Jordan Favors,147032,LB,APP STATE,10,1,6.2,85.7,94.2,11.8,10.1,0,0,1,7.1,108,62.3,66.7,22.4,71.2,74.9,67.6,0,32,23.1,3,1,2,124.1,12,147,156,2,9,14,1,113,56,0.8,9.4
Deshawn McKnight,147037,DI,ARIZONA,13,1,,,3.1,,,0,0,0,,109,55.5,76.4,87.1,64.3,82.3,60.7,0,,75.0,3,0,0,0.0,0,7,228,2,0,0,0,0,0,0.0,
Kyle Arnholt,147038,LB,APP STATE,13,4,5.1,77.8,91.5,11.7,9.1,0,0,1,3.7,108,39.6,58.4,83.2,54.2,74.0,70.3,0,38,21.4,6,0,0,102.8,21,258,282,7,18,27,0,234,183,1.0,11.1
Dennard Flowers,147062,ED,USF,11,0,,,1.6,,,1,0,0,,327,68.9,79.4,24.4,74.6,81.9,71.4,0,,40.0,2,0,3,0.0,0,4,243,4,3,0,0,0,0,0.0,
Ethan Hassler,147070,ED,ARK STATE,13,4,6.8,100.0,15.6,8.0,8.0,0,0,0,0.0,113,50.4,66.9,75.2,69.1,67.0,82.1,0,18,20.0,2,0,1,154.9,6,51,327,8,4,6,1,70,30,1.5,11.7
Dre Pinckney,147095,S,COAST CAR,13,1,10.1,64.3,95.7,16.4,10.6,0,0,0,0.0,141,43.5,45.0,85.7,56.2,49.5,38.1,0,57,33.3,4,0,0,117.0,9,156,163,3,7,14,1,126,41,0.9,14.0
Isaac Walker,147125,ED,JVILLE ST,13,3,4.5,94.7,41.7,5.6,5.3,0,0,0,0.0,196,48.5,63.3,89.8,69.4,65.9,73.9,0,15,8.3,1,0,0,115.4,18,111,266,7,8,19,1,142,81,1.4,7.9
Justin Meyers,147126,S,GA SOUTHRN,13,3,10.4,73.5,94.4,12.6,9.3,0,0,3,8.8,174,47.6,54.3,50.4,53.5,65.4,90.6,0,74,6.1,2,3,2,131.0,25,336,356,5,28,34,2,392,183,1.2,15.7
Davion Rhodes,147130,ED,GA SOUTHRN,13,0,,,2.4,,,1,0,0,,174,69.8,67.5,69.3,60.3,68.5,58.8,0,,33.3,1,0,1,0.0,0,6,246,1,2,0,0,0,0,0.0,
Terrence Williams,147144,LB,LA LAFAYET,13,9,2.1,87.5,81.8,10.3,9.0,0,0,0,0.0,207,54.2,52.7,36.4,46.0,57.4,63.8,0,39,16.7,6,0,2,120.4,28,297,363,6,21,32,1,333,287,1.2,11.9
Jalen Clark,147161,S,LA LAFAYET,13,4,8.4,42.1,95.0,34.4,14.5,0,0,2,10.5,207,54.4,53.7,86.2,60.2,51.5,36.0,1,14,23.5,4,2,0,29.1,8,283,298,1,9,19,0,63,55,0.2,7.9
Cameron Whitfield,147164,ED,LA LAFAYET,13,1,2.9,57.1,10.3,6.5,3.7,0,0,1,14.3,207,71.0,67.8,52.4,62.5,68.9,52.5,1,10,37.5,3,0,2,23.8,4,26,252,3,4,7,0,23,20,0.9,5.8
Jake St. Andre,147166,LB,LA LAFAYET,13,3,1.3,100.0,86.7,17.7,17.7,0,0,0,0.0,207,66.4,68.8,28.0,66.8,69.2,60.1,0,14,18.2,2,0,1,82.6,6,111,128,3,6,6,0,23,15,0.2,3.8
Justin Agu,147169,CB,LOUISVILLE,9,0,22.0,25.0,94.2,46.0,11.5,0,0,0,0.0,210,52.5,54.4,76.9,52.2,70.2,77.7,0,3,0.0,0,0,1,39.6,1,49,52,1,1,4,0,3,-1,0.1,3.0
Dalton Hughes,147217,LB,S ALABAMA,11,1,1.5,84.6,84.1,9.7,8.2,0,0,0,0.0,288,46.7,53.9,82.7,70.6,57.4,64.0,0,68,30.8,4,0,0,144.4,11,111,132,6,8,13,1,195,182,1.8,17.7
Peyton Higgins,147247,WR,TROY,1,0,,,100.0,,,0,0,0,,318,60.0,62.4,60.0,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Phillip Lee,147269,ED,ARKANSAS,10,0,2.6,60.0,16.9,8.7,5.2,1,0,0,0.0,111,66.4,65.2,33.1,67.1,62.4,83.5,0,2,0.0,0,0,2,64.6,3,30,178,3,4,5,0,-2,14,-0.1,-0.7
Jordan Stringer,147271,LB,TROY,14,8,3.6,79.5,83.3,8.7,6.9,1,0,2,4.5,318,60.9,56.2,29.4,64.3,53.1,45.8,0,51,16.3,8,2,3,96.9,35,325,390,18,33,44,0,319,243,1.0,9.1
Julian Peterson,147274,DI,TROY,14,2,,,1.0,,,0,0,0,,318,61.2,73.3,40.3,61.8,79.9,78.6,0,,0.0,0,0,2,0.0,0,2,198,2,2,0,0,0,0,0.0,
Malcolm Bell,147394,CB,MICH STATE,12,7,13.1,57.9,95.7,16.8,9.7,0,1,7,18.4,223,83.7,79.1,20.3,64.5,61.7,61.2,0,75,13.9,5,5,5,103.9,22,382,399,13,24,38,3,249,118,0.7,11.3
Alfred Chea,147399,LB,BALL ST,12,2,6.1,64.0,89.8,15.4,9.8,0,0,5,20.0,117,61.1,71.1,84.0,60.1,78.2,82.1,0,23,16.7,2,4,0,101.4,16,255,284,1,8,25,2,116,68,0.5,7.3
Langston Hardy,147407,ED,WAKE,13,4,2.9,82.4,22.4,6.1,5.1,0,0,0,0.0,339,69.0,75.2,77.6,72.6,72.7,66.4,0,43,40.0,6,0,1,121.3,14,89,397,10,5,17,1,143,114,1.7,10.2
Pryce Yates,147408,ED,N CAROLINA,1,0,,,33.3,,,0,0,0,,245,62.8,66.5,78.7,63.8,64.1,46.5,0,,,0,0,0,0.0,0,6,18,0,0,0,0,0,0,0.0,
Louce Julien,147436,ED,TOLEDO,13,2,,,5.5,,,0,0,0,,316,77.1,58.0,45.7,62.6,50.4,59.3,0,,20.0,1,0,2,0.0,0,11,199,3,2,0,0,0,0,0.0,
Lorenzo Styles Jr.,147474,S,OHIO STATE,12,2,7.0,66.7,95.9,10.1,6.8,0,0,4,12.1,260,63.5,66.0,87.0,65.1,71.1,57.9,0,67,16.7,4,3,1,100.7,22,232,242,7,18,33,1,261,132,1.2,11.9
Ryan Barnes,147487,CB,UMASS,4,0,9.6,75.0,100.0,7.0,5.3,0,1,0,0.0,216,59.9,58.8,0.0,,62.0,84.0,0,20,0.0,0,0,1,124.0,9,66,66,3,8,12,1,91,48,1.4,10.1
JoJo Johnson,147488,CB,BOWL GREEN,10,1,12.5,41.7,98.3,10.4,4.3,0,0,12,33.3,122,73.7,74.9,82.6,55.9,75.9,62.8,1,39,21.4,3,8,1,49.0,15,170,173,4,10,36,0,205,41,1.3,13.7
Prince Kollie,147492,LB,VANDERBILT,5,1,5.9,90.9,81.4,5.5,5.0,0,0,0,0.0,333,51.6,54.1,77.8,52.3,64.5,62.9,0,20,22.2,2,0,0,100.4,10,57,70,3,6,11,0,89,47,1.6,8.9
Kahanu Kia,147494,LB,NOTRE DAME,3,0,1.5,100.0,64.3,4.0,4.0,0,0,0,0.0,258,63.9,66.5,0.0,63.4,73.1,79.7,0,8,0.0,0,0,1,83.3,2,9,14,1,1,2,0,8,5,1.0,4.0
Talan Alfrey,147503,S,BYU,6,1,4.3,83.3,100.0,7.6,6.3,0,0,0,0.0,128,69.7,71.9,77.6,,72.2,87.0,0,24,0.0,0,0,0,132.6,5,39,39,2,5,6,1,38,25,1.0,7.6
Maguire Anderson,147504,WR,FIU,1,0,,,100.0,,,0,0,0,,166,60.0,64.5,60.0,,61.6,70.3,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Joshua Singh,147531,DI,VANDERBILT,12,1,,,0.5,,,0,0,0,,333,62.4,77.2,21.5,67.2,83.3,75.4,0,,0.0,0,0,3,0.0,0,1,204,2,1,0,0,0,0,0.0,
Tanner Wall,147534,S,BYU,14,6,14.3,71.4,100.0,85.2,60.9,0,0,0,0.0,128,85.5,81.3,89.2,,66.8,64.7,4,38,21.2,7,0,0,74.1,5,444,444,2,20,7,0,92,40,0.2,18.4
Joseph Carter,147544,LB,LIBERTY,7,1,5.9,75.0,85.1,13.4,10.1,0,0,1,6.3,206,61.5,64.1,83.5,61.4,64.2,56.8,0,21,9.1,1,1,0,91.7,12,165,194,3,9,16,0,104,58,0.6,8.7
Dylan Simmons,147645,CB,MO STATE,2,0,-7.0,100.0,100.0,4.0,4.0,0,0,0,0.0,230,62.8,63.6,70.9,,60.0,,0,0,,0,0,0,79.2,1,4,4,0,0,1,0,0,7,0.0,0.0
Deshawn Lynch,147813,ED,WASHINGTON,11,0,3.0,100.0,13.5,5.4,5.4,0,0,0,0.0,340,90.3,75.1,64.8,63.7,73.6,72.2,1,22,28.6,2,0,1,60.4,5,30,223,4,5,5,0,40,25,1.5,8.0
Dylan Flowers,147839,CB,W KENTUCKY,13,2,11.6,53.6,99.5,13.1,7.0,0,0,6,21.4,346,76.9,76.6,22.3,59.2,73.9,58.2,0,41,9.1,2,5,4,82.9,15,218,219,7,18,28,1,163,51,0.8,10.9
Jalon Rock,147859,CB,LIBERTY,4,0,19.8,66.7,97.2,8.8,5.8,0,0,2,33.3,206,64.6,66.6,80.3,60.0,70.7,81.6,0,44,0.0,0,2,0,104.2,4,35,36,0,4,6,0,67,17,1.9,16.8
Jack Kelly,147861,LB,BYU,12,2,5.3,78.1,74.4,11.1,8.7,0,0,4,12.5,128,60.7,68.7,87.9,77.7,65.1,57.2,0,37,28.1,9,2,0,110.9,25,287,386,18,21,32,1,260,158,0.9,10.4
Boogsie Silvera,147936,LB,USF,2,0,6.0,100.0,100.0,6.0,6.0,0,0,0,0.0,327,43.8,51.0,73.6,,60.4,76.0,0,17,,0,0,0,118.8,1,6,6,0,0,1,0,17,11,2.8,17.0
Gabriel Benyard,147969,WR,KENNESAW,1,0,,,100.0,,,0,0,0,,200,62.9,61.7,63.1,,,76.2,0,,0.0,0,0,2,0.0,0,1,1,0,1,0,0,0,0,0.0,
Garland Benyard,147970,LB,KENNESAW,7,3,6.3,73.3,86.9,12.7,9.3,0,2,1,6.7,200,61.9,66.0,30.8,63.0,69.7,69.0,0,28,6.7,1,1,1,93.2,11,152,175,6,11,15,0,108,46,0.8,9.8
Chance Gamble,147978,CB,GA SOUTHRN,4,2,18.6,41.7,97.0,17.8,7.4,0,0,3,25.0,174,73.4,65.0,81.9,48.8,39.8,54.8,1,17,12.5,1,3,0,21.2,5,97,100,0,5,12,0,55,7,0.6,11.0
Maddix Blackwell,148092,S,C MICHIGAN,13,2,8.3,66.7,99.5,19.9,13.3,0,0,3,20.0,134,70.8,68.7,21.2,60.0,65.0,74.9,1,22,5.6,1,2,1,75.4,10,206,207,3,15,15,1,84,10,0.4,8.4
Lemondre Joe,148119,CB,COLO STATE,12,3,14.5,49.1,93.8,11.8,5.8,1,0,5,9.1,144,60.3,64.1,26.6,77.0,71.5,66.3,0,55,13.8,4,4,6,107.7,27,345,368,10,22,55,7,332,129,1.0,12.3
Udoka Ezeani,148120,ED,UTEP,12,4,6.0,80.0,32.7,6.0,4.8,1,0,1,5.0,330,36.3,45.3,0.0,68.9,43.7,44.1,0,45,12.5,2,1,6,126.7,16,104,318,8,10,20,1,208,125,2.2,13.0
Caleb Dietlin,148122,ED,MO STATE,13,0,10.0,100.0,7.7,17.0,17.0,0,0,0,0.0,230,52.7,63.2,46.0,71.6,56.3,79.0,0,14,100.0,1,0,2,118.8,1,18,233,3,0,1,0,14,4,0.8,14.0
Enock Sibomana,148168,LB,WYOMING,10,0,-1.0,75.0,78.9,22.0,16.5,0,0,0,0.0,351,69.0,60.9,81.1,50.2,57.4,67.3,0,10,33.3,1,0,0,83.3,3,71,90,2,2,4,0,18,21,0.3,6.0
Kody Huisman,148174,DI,VA TECH,12,2,,,0.9,,,0,0,0,,337,61.0,77.7,42.1,82.9,71.2,75.2,0,,25.0,1,0,2,0.0,0,2,213,0,1,0,0,0,0,0.0,
Shahid Barros,148211,CB,IOWA,2,0,11.0,0.0,100.0,,7.0,0,0,0,0.0,192,54.2,56.3,73.1,,62.4,,0,,,0,0,0,39.6,0,7,7,0,0,1,0,0,0,0.0,
Matthew Durrance,148240,S,WASH STATE,13,5,14.5,61.5,99.6,30.6,18.8,0,0,2,15.4,341,69.9,70.3,86.9,60.0,68.4,73.3,1,68,9.1,2,1,1,113.0,8,256,257,3,15,13,3,167,79,0.7,20.9
Tucker Large,148243,S,WASH STATE,13,3,12.8,55.9,99.7,17.9,10.0,0,2,5,14.7,341,86.5,81.4,2.7,58.6,69.7,71.6,0,25,10.8,4,4,3,99.3,19,356,357,9,30,34,3,173,60,0.5,9.1
Caleb Curtain,148341,S,CHARLOTTE,11,9,3.9,82.4,98.2,14.7,12.1,0,0,0,0.0,136,53.8,52.9,85.2,84.0,46.0,46.2,0,70,28.0,7,0,0,158.0,14,215,219,2,9,17,2,214,154,1.0,15.3
Brandon Fique,148353,LB,JAMES MAD,5,0,13.0,0.0,83.3,,10.0,0,0,0,0.0,197,52.6,69.2,71.5,59.6,77.3,82.4,0,,,0,0,0,39.6,0,10,12,0,0,1,0,0,0,0.0,
Kye Holmes,148357,S,JAMES MAD,3,1,6.0,100.0,81.8,9.0,9.0,0,0,0,0.0,197,62.6,62.2,73.6,58.3,60.0,76.4,1,38,0.0,0,0,0,79.2,1,9,11,0,0,1,0,38,32,4.2,38.0
Shymell Davis,148384,DI,UMASS,11,0,,,0.6,,,0,0,0,,216,64.9,64.4,66.6,67.5,61.2,71.7,0,,0.0,0,0,1,0.0,0,1,162,0,1,0,0,0,0,0.0,
Xavier Holmes,148387,ED,JAMES MAD,14,0,4.4,60.0,12.1,11.0,6.6,0,1,0,0.0,197,70.7,74.9,89.8,75.6,63.3,57.6,1,25,50.0,1,0,0,48.3,3,35,290,7,1,5,0,43,23,1.3,14.3
Mason Woods,148468,LB,KENT STATE,12,7,4.5,90.0,79.1,13.8,12.5,0,0,0,0.0,201,63.1,63.8,85.2,61.1,62.3,66.6,0,32,11.5,3,0,0,102.3,18,261,330,12,16,20,0,171,108,0.7,9.5
Chantz Harley,148479,CB,JAMES MAD,4,0,,,100.0,,,0,0,0,,197,66.6,67.0,74.6,,63.1,,0,,,0,0,0,0.0,0,8,8,0,0,0,0,0,0,0.0,
Ayden Garnes,148570,CB,ARIZONA,13,2,12.6,55.3,97.2,12.5,6.9,0,0,7,14.9,109,71.5,68.6,85.5,65.0,51.7,46.2,1,45,15.2,5,4,2,72.5,26,345,355,5,26,47,1,294,67,0.9,11.3
Tim Malo,148668,S,HAWAII,1,0,,,100.0,,,0,0,0,,180,61.0,60.5,67.4,,,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Hayden McDonald,148735,S,NEVADA,12,7,11.3,75.0,98.9,21.7,16.3,0,0,0,0.0,239,54.4,53.5,87.1,56.9,51.1,46.4,0,75,18.5,5,0,0,156.0,12,275,278,3,15,16,3,199,95,0.8,16.6
Malin White,148771,ED,BUFFALO,12,2,5.3,66.7,9.2,15.5,10.3,0,0,0,0.0,126,56.3,70.9,89.9,67.8,70.3,51.3,0,16,0.0,0,0,0,92.4,2,32,346,3,2,3,0,25,10,0.8,12.5
Connor Henderson,148774,LB,BUFFALO,3,1,2.8,80.0,100.0,3.0,2.4,0,0,0,0.0,126,36.7,51.2,73.3,,72.1,77.6,0,16,0.0,0,0,0,97.5,4,14,14,0,0,5,0,37,19,3.1,9.3
Trey Harris,148808,S,SM HOUSTON,10,0,1.9,100.0,90.2,13.3,13.3,0,0,0,0.0,281,50.9,52.3,82.2,51.6,56.7,50.5,0,19,20.0,2,0,0,130.7,8,110,122,3,8,8,1,47,32,0.4,5.9
Braden Mullen,148849,ED,CHARLOTTE,12,3,,,12.7,,,0,0,0,,136,64.5,65.0,86.0,63.3,62.1,63.3,0,,0.0,0,0,0,0.0,0,26,204,0,1,0,0,0,0,0.0,
Zachary Farris,148853,S,UMASS,8,0,4.6,88.9,94.2,7.9,7.0,0,0,0,0.0,216,55.1,57.0,81.4,53.0,60.1,52.1,0,27,25.0,2,0,0,104.2,8,65,69,2,6,9,0,81,52,1.3,10.1
Jordan Washington,148854,CB,STANFORD,8,0,12.6,57.1,97.8,11.1,6.4,1,0,1,7.1,300,52.7,53.5,80.1,55.4,61.8,61.4,0,41,16.7,2,1,1,83.9,8,90,92,2,10,14,0,115,29,1.3,14.4
Mitchell Gonser,148904,LB,BUFFALO,12,1,3.5,80.0,87.6,10.9,8.7,0,0,1,5.0,126,73.9,74.7,82.9,66.2,71.5,70.8,2,31,22.7,5,1,0,52.7,16,183,209,9,16,20,0,123,64,0.7,7.7
Gavin Shipman,148908,CB,CHARLOTTE,9,0,12.0,44.8,99.4,12.6,5.7,0,0,4,13.8,136,55.6,58.2,82.5,64.3,67.4,45.9,1,43,30.0,3,3,0,65.2,13,168,169,1,7,29,1,199,117,1.2,15.3
Joshua Rudolph,149135,LB,UTEP,3,1,6.0,100.0,77.6,11.0,11.0,0,0,0,0.0,330,50.0,61.8,79.1,64.8,71.8,61.9,0,30,40.0,2,0,0,118.8,5,59,76,0,2,5,0,89,59,1.6,17.8
Marquis Cooper,149289,CB,BUFFALO,10,2,11.9,55.3,95.4,10.3,5.7,0,0,5,13.2,126,59.4,61.5,39.3,66.4,68.9,60.1,0,77,15.0,3,3,2,116.7,21,227,238,6,15,38,3,385,191,1.8,18.3
Andrew Taddeo,149293,DI,JAMES MAD,14,1,1.0,0.0,2.3,,4.0,0,0,0,0.0,197,52.6,66.7,30.5,70.4,66.1,49.4,0,,0.0,0,0,2,39.6,0,4,175,2,1,1,0,0,0,0.0,
Kamren Watkins-Hunter,149345,CB,UMASS,4,1,8.4,76.9,99.0,9.2,7.1,0,1,0,0.0,216,62.0,61.6,80.9,60.0,58.2,65.8,0,20,0.0,0,0,0,102.7,10,96,97,5,10,13,0,114,31,1.2,11.4
