player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Trent Jones II,157604,DI,UCONN,8,4,0,146,0,,,10.3,,,0,0,,58.7,0,,100.0,1,0,0.0,0,3,75.0,29,0,0,0,0,0,0,0.0,,0,2,,,0.0,,,0,0,,60.4,0,,25.0,1,0,0.0,0,0,0.0,93,1,1,0,0,0,0,,
Jeremiah Cooper,157608,CB,IOWA STATE,4,102,0,193,0,15.0,0.0,100.0,,24.0,0,0,0.0,59.7,0,,0.0,0,0,39.6,0,26,25.5,26,1,1,1,0,0,0,0.0,,0,0,8.2,44.4,98.3,13.8,6.1,1,2,22.2,75.4,1,26,0.0,0,1,26.9,4,57,55.9,58,2,4,9,0,59,37,1.1,14.8
Tyre West,157613,ED,TENNESSEE,12,1,0,307,0,,,2.8,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,100.0,36,1,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,68.3,0,,0.0,0,0,0.0,0,0,0.0,83,5,3,0,0,0,0,,
Elijah Herring,157614,LB,FLORIDA ST,12,170,0,167,0,7.5,100.0,56.6,14.5,14.5,0,0,0.0,59.5,0,15,0.0,0,0,145.8,2,30,17.6,53,2,1,2,1,19,4,0.7,9.5,0,3,2.7,91.7,87.8,8.9,8.2,0,0,0.0,46.7,0,21,22.2,4,0,95.5,11,101,59.4,115,6,11,12,0,83,56,0.8,7.5
Cam Miller,157620,S,MEMPHIS,1,2,0,218,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,
Max Alford,157627,LB,BYU,9,54,0,128,0,,,87.5,,,0,0,,64.0,0,,,0,0,0.0,0,14,25.9,16,0,0,0,0,0,0,0.0,,0,1,5.0,100.0,64.6,31.0,31.0,0,0,0.0,68.6,0,7,50.0,3,0,95.8,1,31,57.4,48,2,2,1,0,7,2,0.2,7.0
Bronson Olevao Jr.,157632,LB,UTAH ST,13,336,0,329,0,-4.2,100.0,49.7,14.4,14.4,0,0,0.0,60.4,1,13,0.0,0,0,101.7,5,72,21.4,145,4,6,5,1,42,63,0.6,8.4,0,6,6.0,67.9,72.6,10.5,7.1,0,0,0.0,50.8,1,24,28.6,8,0,70.1,19,204,60.7,281,5,14,28,0,177,92,0.9,9.3
Paul Fitzgerald,157633,ED,UTAH,4,3,0,328,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,27,1,0,0,0,0,0,,,0,0,,,22.2,,,0,0,,60.4,0,,,0,0,0.0,0,2,66.7,9,0,0,0,0,0,0,0.0,
Malachi Madison,157649,DI,UMASS,8,1,0,216,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,21,0,0,0,0,0,0,,,0,0,,,1.6,,,0,0,,57.3,0,,100.0,1,0,0.0,0,1,100.0,63,1,0,0,0,0,0,0.0,
Mansoor Delane,157650,CB,LSU,11,356,0,211,0,9.0,42.9,99.3,21.7,9.3,0,5,35.7,89.1,1,21,15.4,2,3,28.3,6,138,38.8,139,3,11,14,0,68,52,0.5,11.3,0,2,14.9,28.6,100.0,42.3,12.1,0,4,28.6,76.7,1,29,7.7,1,3,14.6,4,175,49.2,175,3,10,14,0,58,26,0.3,14.5
Keyshawn Burgos,157654,ED,VA TECH,4,5,0,337,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,35.7,,,0,0,,61.7,0,,,0,0,0.0,0,5,100.0,14,0,0,0,0,0,0,0.0,
Kevin Sjogren,157669,ED,WYOMING,7,13,0,351,0,,,23.1,,,0,0,,61.2,0,,,0,0,0.0,0,3,23.1,13,0,0,0,0,0,0,0.0,,0,0,,,41.7,,,0,0,,64.1,0,,0.0,0,0,0.0,0,5,38.5,12,1,1,0,0,0,0,0.0,
Caleb Merritt,157681,CB,WYOMING,4,29,0,351,0,7.0,100.0,100.0,8.0,8.0,0,0,0.0,54.9,0,15,,0,0,118.8,1,8,27.6,8,0,0,1,0,15,8,1.9,15.0,0,0,2.5,50.0,100.0,17.0,8.5,0,0,0.0,59.2,0,5,,0,0,56.3,1,18,62.1,18,0,0,2,0,5,8,0.3,5.0
Simeon Harris,157706,CB,FRESNO ST,13,338,0,169,0,13.4,37.5,95.6,13.8,5.2,0,4,16.7,64.9,1,19,20.0,1,3,43.8,9,130,38.5,136,0,4,24,1,80,33,0.6,8.9,0,1,3.9,70.0,95.1,6.4,4.5,1,3,7.5,83.9,3,19,10.0,2,3,47.5,28,193,57.1,203,9,17,40,0,176,147,1.0,6.3
Xavier Smith,157707,S,UTEP,10,315,0,330,0,4.6,45.5,96.9,17.6,8.0,0,1,9.1,88.7,1,11,0.0,0,1,54.2,5,93,29.5,96,1,3,11,2,23,10,0.3,4.6,0,6,12.5,66.7,99.5,22.0,14.7,0,2,16.7,48.9,0,77,9.1,2,2,137.5,8,186,59.0,187,4,14,12,1,217,109,1.2,27.1
Jeremy Mack Jr.,157712,S,DOMINION,13,305,0,263,0,-5.5,100.0,40.9,16.0,16.0,1,1,50.0,62.7,0,3,50.0,1,1,118.8,2,36,11.8,88,4,1,2,1,-5,6,-0.2,-2.5,0,4,4.5,74.1,84.9,10.9,8.1,1,2,7.4,75.0,1,23,16.7,4,2,75.1,20,225,73.8,265,11,16,27,0,173,110,0.8,8.7
Braden Keith,157713,S,COLORADO,1,1,0,143,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Shakaun Bowser,157715,ED,UTEP,12,5,0,330,0,,,5.4,,,0,0,,60.3,0,,,0,0,0.0,0,3,60.0,56,0,0,0,0,0,0,0.0,,0,0,,,2.1,,,0,0,,62.8,0,,66.7,2,0,0.0,0,2,40.0,96,2,1,0,0,0,0,0.0,
Dylan Dixson,157722,CB,MO STATE,13,333,0,230,0,13.8,25.0,90.6,29.0,7.3,0,1,25.0,69.7,0,4,0.0,0,1,39.6,1,29,8.7,32,0,1,4,0,4,0,0.1,4.0,0,3,5.0,79.5,97.8,7.2,5.8,0,2,4.5,55.9,1,32,16.1,5,2,86.6,35,267,80.2,273,11,23,44,0,311,187,1.2,8.9
Jamari Lyons,157729,DI,FLORIDA,12,1,0,163,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,0,13.0,100.0,1.3,1.0,1.0,0,0,0.0,57.3,0,23,,0,0,118.8,1,1,100.0,75,0,0,1,0,23,10,23.0,23.0
Kamari Wilson,157735,S,MEMPHIS,13,387,0,218,1,7.3,50.0,82.6,24.0,12.0,0,1,12.5,80.1,1,42,28.6,2,1,42.7,4,100,25.8,121,1,4,8,0,74,30,0.8,18.5,0,2,10.4,73.9,94.4,12.1,9.0,2,4,17.4,58.5,1,31,17.4,4,4,93.6,17,219,56.6,232,4,17,23,1,185,33,0.9,10.9
Miguel Mitchell,157742,S,ARKANSAS,12,257,0,111,1,4.7,83.3,97.4,12.8,10.7,0,1,16.7,67.1,1,8,30.0,3,1,81.3,5,75,29.2,77,2,6,6,2,21,3,0.3,4.2,0,2,3.1,100.0,97.0,13.7,13.7,0,0,0.0,56.6,0,40,18.2,2,0,118.8,9,129,50.2,133,2,7,9,0,119,91,1.0,13.2
Jack Pyburn,157747,ED,LSU,12,29,0,211,1,,,2.3,,,0,0,,63.6,0,,50.0,2,0,0.0,0,3,10.3,130,2,1,0,0,0,0,0.0,,0,0,4.3,75.0,17.2,4.3,3.3,0,0,0.0,47.8,0,19,50.0,3,0,94.8,6,26,89.7,151,3,3,8,0,58,26,2.2,9.7
Devin Moore,157751,CB,FLORIDA,11,268,0,163,0,6.0,50.0,100.0,18.0,9.0,0,1,50.0,72.7,0,10,,0,1,64.6,1,21,7.8,21,0,0,2,0,10,1,0.6,10.0,0,2,13.9,61.9,100.0,14.7,9.1,0,1,4.8,72.9,2,28,7.1,1,1,62.9,13,195,72.8,195,2,11,21,1,166,75,0.9,12.8
Tyreak Sapp,157752,ED,FLORIDA,12,18,0,163,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,19,0,0,0,0,0,0,,,0,1,,,9.2,,,0,0,,53.5,0,,33.3,1,0,0.0,0,13,72.2,141,1,1,0,0,0,0,0.0,
Jet Dineen,157779,S,KANSAS ST,2,5,0,199,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,1,0,0,0,0,0,0,0.0,,0,0,18.0,0.0,100.0,,4.0,0,0,0.0,47.3,0,,,0,0,39.6,0,4,80.0,4,0,0,1,0,0,0,0.0,
VJ Payne,157780,S,KANSAS ST,12,374,0,199,1,17.2,20.0,91.6,45.0,9.0,0,3,30.0,68.7,0,14,0.0,0,1,39.6,2,98,26.2,107,1,3,10,0,20,13,0.2,10.0,0,2,6.8,56.5,100.0,17.4,9.8,2,3,13.0,71.9,0,27,7.7,1,2,73.5,13,234,62.6,234,4,10,23,0,134,92,0.6,10.3
Jordan Perry,157785,S,TROY,7,17,0,318,0,,,100.0,,,0,0,,60.7,0,,,0,0,0.0,0,2,11.8,2,0,0,0,0,0,0,0.0,,0,0,5.5,50.0,92.9,13.0,6.5,0,0,0.0,62.4,0,26,0.0,0,0,95.8,1,13,76.5,14,1,2,2,0,26,28,2.0,26.0
Tobi Osunsanmi,157786,ED,KANSAS ST,6,15,0,199,0,,,9.8,,,0,0,,73.1,0,,0.0,0,0,0.0,0,4,26.7,41,1,1,0,0,0,0,0.0,,0,2,,,11.6,,,0,0,,77.5,0,,0.0,0,0,0.0,0,10,66.7,86,5,3,0,0,0,0,0.0,
Jaleel Johnson,157823,ED,OKLA STATE,4,3,0,262,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,13,0,0,0,0,0,0,,,0,0,,,6.3,,,0,0,,61.8,0,,50.0,1,0,0.0,0,3,100.0,48,1,1,0,0,0,0,0.0,
Ethan Powell,157838,LB,S JOSE ST,12,153,0,285,0,,,78.6,,,0,0,,63.6,0,,0.0,0,0,0.0,0,11,7.2,14,0,1,0,0,0,0,0.0,,0,1,3.1,68.8,76.8,10.2,7.0,0,1,6.3,69.5,0,30,0.0,0,1,103.6,11,119,77.8,155,1,12,16,1,90,72,0.8,8.2
Jordan Pollard,157845,LB,S JOSE ST,12,345,0,285,0,2.7,100.0,29.5,5.7,5.7,0,0,0.0,62.8,0,54,50.0,1,0,118.8,3,18,5.2,61,3,1,3,0,65,57,3.8,21.7,0,3,6.6,78.1,95.5,9.7,7.6,0,2,6.3,41.6,1,50,29.2,7,2,101.2,25,253,73.3,265,7,14,32,1,285,143,1.2,11.4
Justin Stearns,157846,ED,S JOSE ST,12,1,0,285,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,5,0,0,0,0,0,0,,,0,0,,,1.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,64,2,0,0,0,0,0,0.0,
Justin Eklund,157848,LB,BOWL GREEN,4,19,0,122,0,,,66.7,,,0,0,,60.3,0,,,0,0,0.0,0,2,10.5,3,0,0,0,0,0,0,0.0,,0,0,15.5,100.0,100.0,7.0,7.0,0,0,0.0,48.6,0,31,0.0,0,0,118.8,2,14,73.7,14,1,1,2,0,49,18,3.5,24.5
Michael Dansby,157849,CB,ARIZONA,12,261,0,109,2,15.4,41.4,97.7,9.8,4.1,1,6,20.7,66.1,1,59,10.0,1,5,84.7,12,128,49.0,131,3,7,29,3,195,92,1.7,16.3,0,0,16.9,26.7,100.0,27.3,7.3,0,2,13.3,79.9,1,12,40.0,2,1,11.8,4,112,42.9,112,1,3,15,0,23,18,0.2,5.8
Khalil Jacobs,157870,LB,MISSOURI,13,190,0,229,0,0.7,33.3,72.5,54.0,18.0,0,0,0.0,65.7,0,3,0.0,0,0,42.4,1,58,30.5,80,3,2,3,0,3,4,0.1,3.0,0,5,1.1,92.3,86.1,9.3,8.5,0,0,0.0,62.5,0,18,14.3,2,0,91.0,12,118,62.1,137,6,7,13,0,76,65,0.7,6.3
Blayne Myrick,157874,LB,S ALABAMA,11,270,0,288,1,-3.0,100.0,48.6,14.0,14.0,0,0,0.0,54.3,0,3,25.0,1,0,79.2,1,17,6.3,35,1,2,1,0,3,6,0.2,3.0,0,9,4.8,84.6,88.5,7.9,6.7,0,1,3.8,45.7,0,70,10.0,3,1,138.3,22,184,68.1,208,8,18,26,2,287,193,1.6,13.0
Mo Westmoreland,157883,ED,TULANE,12,43,0,319,0,,,17.9,,,0,0,,79.1,1,,,0,0,0.0,0,7,16.3,39,0,0,0,0,0,0,0.0,,0,0,-1.3,66.7,28.6,10.5,7.0,0,0,0.0,68.4,0,9,0.0,0,0,70.1,2,22,51.2,77,4,2,3,0,7,7,0.3,3.5
A'tiq Muhammad,157887,CB,KENT STATE,9,141,0,201,1,13.5,100.0,97.3,16.5,16.5,0,0,0.0,56.3,0,32,33.3,2,0,158.3,2,36,25.5,37,1,3,2,1,33,6,1.0,16.5,0,2,13.8,66.7,100.0,11.5,7.7,1,0,0.0,57.7,0,18,8.3,1,0,91.9,6,71,50.4,71,0,9,9,0,74,13,1.1,12.3
Jonathan Capo,157937,S,BUFFALO,3,13,0,126,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,7.7,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.0,0,,,0,0,0.0,0,8,61.5,8,0,0,0,0,0,0,0.0,
Devin Grant,157942,S,SYRACUSE,10,162,0,304,0,12.8,66.7,74.5,9.5,6.3,0,2,33.3,67.3,0,41,0.0,0,1,141.7,4,41,25.3,55,1,3,6,1,64,40,1.7,16.0,0,2,6.3,92.9,84.6,7.2,6.6,0,0,0.0,43.3,0,21,25.0,4,0,110.4,13,99,61.1,117,2,10,14,0,147,74,1.6,11.3
Red Murdock,157948,LB,BUFFALO,12,380,0,126,0,6.0,100.0,85.1,38.0,38.0,0,0,0.0,71.8,0,38,33.3,1,0,158.3,2,86,22.6,101,2,2,2,1,33,21,0.4,16.5,0,3,3.0,66.7,88.2,18.8,12.6,0,2,11.1,75.4,0,50,21.7,5,2,109.7,12,231,60.8,262,9,15,18,1,145,102,0.6,12.1
Kam Olds,157953,ED,KENTUCKY,11,36,0,202,0,,,4.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.8,24,0,0,0,0,0,0,0.0,,0,3,8.4,60.0,29.2,9.0,5.4,0,0,0.0,46.9,0,27,14.3,1,0,90.4,3,28,77.8,96,1,3,5,0,46,18,1.7,15.3
Devin Morgan,157955,DI,BUFFALO,12,6,0,126,0,,,4.4,,,0,0,,61.1,0,,,0,0,0.0,0,2,33.3,45,2,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,116,1,1,0,0,0,0,,
Cornell Evans,157956,DI,BUFFALO,12,3,0,126,0,,,2.4,,,0,0,,59.9,0,,,0,0,0.0,0,1,33.3,41,0,0,0,0,0,0,0.0,,0,1,,,0.8,,,0,0,,55.2,0,,33.3,1,0,0.0,0,1,33.3,119,1,1,0,0,0,0,0.0,
Maguire Neal,157963,S,MO STATE,13,422,0,230,1,5.0,100.0,92.6,22.0,22.0,0,0,0.0,71.3,0,9,25.0,1,0,133.3,2,50,11.8,54,0,2,2,1,13,3,0.3,6.5,0,7,13.9,55.6,100.0,30.2,16.8,0,4,22.2,64.2,1,52,18.9,7,3,99.8,10,321,76.1,321,4,23,18,2,162,69,0.5,16.2
Reid Williford,157970,LB,CHARLOTTE,12,207,0,136,1,6.0,75.0,66.0,11.7,8.8,0,0,0.0,72.7,0,21,0.0,0,0,92.7,3,35,16.9,53,3,5,4,0,27,4,0.8,9.0,0,2,3.6,81.8,87.6,7.9,6.5,0,0,0.0,49.1,0,21,25.9,7,0,100.9,18,149,72.0,170,7,18,22,0,181,123,1.3,10.1
Aveon Grose,157977,S,MICH STATE,4,93,0,223,0,10.0,66.7,94.4,8.5,5.7,0,0,0.0,61.8,0,19,0.0,0,0,92.4,2,17,18.3,18,0,3,3,0,25,17,1.5,12.5,0,0,8.0,50.0,96.4,53.0,26.5,0,0,0.0,59.6,1,11,66.7,2,0,27.1,1,53,57.0,55,1,1,2,0,11,15,0.2,11.0
A.J. Odom,157991,LB,BOWL GREEN,7,21,0,122,0,25.0,100.0,63.6,6.0,6.0,0,0,0.0,44.5,0,33,,0,0,118.8,1,7,33.3,11,0,0,1,0,33,8,5.5,33.0,0,1,5.0,100.0,84.6,11.0,11.0,0,0,0.0,55.9,0,6,0.0,0,0,91.7,1,11,52.4,13,0,0,1,0,6,1,0.5,6.0
Ladarian Paulk,157996,S,E CAROLINA,9,38,0,156,0,,,100.0,,,0,0,,61.4,0,,,0,0,0.0,0,3,7.9,3,0,0,0,0,0,0,0.0,,0,0,-1.0,100.0,100.0,22.0,22.0,0,0,0.0,53.7,0,9,,0,0,104.2,1,24,63.2,24,0,0,1,0,9,10,0.4,9.0
Adam Trick,158021,ED,MIAMI OH,13,4,0,221,0,,,0.8,,,0,0,,60.0,0,,100.0,2,0,0.0,0,1,25.0,118,0,0,0,0,0,0,0.0,,0,1,,,0.8,,,0,0,,75.0,0,,33.3,2,0,0.0,0,2,50.0,248,9,3,0,0,0,0,0.0,
Grant Lyons,158024,ED,MIAMI OH,14,1,0,221,0,,,2.2,,,0,0,,61.9,0,,0.0,0,0,0.0,0,1,100.0,46,0,1,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,65,1,1,0,0,0,0,,
Eli Coppess,158027,S,MIAMI OH,10,98,0,221,0,29.0,25.0,96.3,23.0,5.8,0,0,0.0,89.6,2,32,0.0,0,0,20.8,1,26,26.5,27,0,1,4,0,32,8,1.4,32.0,0,0,17.0,66.7,94.4,24.0,16.0,0,0,0.0,49.9,0,33,33.3,2,0,109.7,2,51,52.0,54,1,4,3,0,47,11,1.0,23.5
Roy Williams,158037,ED,N ILLINOIS,10,2,0,254,1,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,64,1,0,0,0,0,0,,,0,1,-2.0,100.0,1.3,2.0,2.0,0,0,0.0,61.3,0,7,0.0,0,0,95.8,1,2,100.0,158,1,2,1,0,7,9,3.5,7.0
Jake Gassaway,158049,LB,N ILLINOIS,5,20,0,254,0,18.0,0.0,81.8,,4.5,0,1,50.0,60.2,0,,,0,0,39.6,0,9,45.0,11,0,0,2,0,0,0,0.0,,0,0,4.0,100.0,100.0,9.0,9.0,0,0,0.0,36.1,0,10,,0,0,108.3,1,9,45.0,9,0,0,1,0,10,6,1.1,10.0
Malik Armstrong,158052,CB,N ILLINOIS,1,13,0,254,0,,,100.0,,,0,0,,61.3,0,,,0,0,0.0,0,2,15.4,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,63.1,0,,,0,0,0.0,0,5,38.5,5,0,0,0,0,0,0,0.0,
Zeke Williams,158055,CB,PURDUE,1,4,0,273,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,48.4,0,,100.0,1,0,0.0,0,2,50.0,2,0,0,0,0,0,0,0.0,
Andre Cobb,158056,CB,FRESNO ST,13,92,0,169,0,11.8,25.0,94.4,31.0,7.8,0,1,25.0,59.7,0,8,100.0,1,1,39.6,1,34,37.0,36,0,0,4,0,8,4,0.3,8.0,0,2,0.1,88.9,96.6,7.0,6.2,0,0,0.0,61.6,0,10,0.0,0,0,82.9,8,57,62.0,59,2,5,9,0,35,35,0.6,4.4
Amariyun Knighten,158059,CB,INDIANA,2,6,0,190,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,64.0,0,,,0,0,0.0,0,6,100.0,6,0,0,0,0,0,0,0.0,
Jacob Finley,158063,CB,N ILLINOIS,11,324,0,254,0,10.6,40.0,97.5,12.3,4.9,0,2,13.3,64.8,0,48,28.6,2,2,65.4,6,78,24.1,80,2,5,15,0,108,79,1.5,18.0,0,6,12.1,67.6,99.0,8.3,5.6,1,4,11.8,58.2,0,17,4.3,1,3,90.7,23,204,63.0,206,3,16,34,1,183,75,1.0,8.0
Kip Lewis,158071,LB,OKLAHOMA,13,220,0,261,0,1.0,100.0,44.6,23.0,23.0,0,0,0.0,60.7,0,9,50.0,1,0,104.2,1,29,13.2,65,1,1,1,0,9,8,0.4,9.0,0,3,3.5,79.2,69.4,7.3,5.8,0,1,4.2,56.5,0,16,6.3,1,1,93.8,19,143,65.0,206,9,12,24,0,156,94,1.1,8.2
Robert Spears-Jennings,158074,S,OKLAHOMA,13,348,0,261,1,11.6,70.0,92.8,9.4,6.6,0,0,0.0,46.9,0,43,25.0,3,0,112.5,7,77,22.1,83,1,8,10,0,152,73,2.3,21.7,0,5,9.6,77.8,97.3,14.9,11.6,1,1,5.6,51.6,0,44,9.1,2,1,127.8,14,215,61.8,221,2,15,18,1,184,54,0.9,13.1
R Mason Thomas,158080,ED,OKLAHOMA,10,34,0,261,0,,,5.9,,,0,0,,60.4,0,,,0,0,0.0,0,3,8.8,51,1,0,0,0,0,0,0.0,,0,0,-4.0,100.0,18.7,24.0,24.0,0,0,0.0,67.5,0,2,33.3,1,0,79.2,1,25,73.5,134,6,2,1,0,2,6,0.1,2.0
Gentry Williams,158084,CB,OKLAHOMA,6,99,0,261,0,5.4,80.0,94.4,3.5,2.8,0,0,0.0,52.1,0,10,33.3,1,0,79.2,4,17,17.2,18,1,2,5,0,15,25,1.1,3.8,0,0,21.2,33.3,100.0,29.0,9.7,0,1,16.7,66.4,0,38,0.0,0,1,57.6,2,60,60.6,60,2,5,6,0,40,18,0.7,20.0
Kobie McKinzie,158089,LB,OKLAHOMA,12,130,0,261,0,,,46.2,,,0,0,,65.0,0,,,0,0,0.0,0,18,13.8,39,0,0,0,0,0,0,0.0,,0,1,3.0,83.3,74.2,17.2,14.3,0,0,0.0,57.7,0,16,44.4,4,0,93.1,5,89,68.5,120,3,4,6,0,38,24,0.4,7.6
Owen Heinecke,158098,LB,OKLAHOMA,13,212,0,261,0,8.0,50.0,47.6,27.0,13.5,0,1,50.0,54.2,0,7,100.0,2,1,58.3,1,30,14.2,63,1,0,2,0,7,8,0.3,7.0,0,5,2.3,57.9,77.9,12.4,7.2,0,0,0.0,69.6,0,14,15.0,3,0,62.8,11,141,66.5,181,7,12,19,0,57,60,0.4,5.2
Peyton Williams,158101,S,S CAROLINA,12,318,0,289,2,2.8,72.7,99.0,12.0,8.7,0,0,0.0,47.4,1,24,27.3,3,0,81.6,8,102,32.1,103,2,6,11,1,70,58,0.7,8.8,0,2,8.7,71.4,100.0,32.2,23.0,1,1,14.3,77.4,0,31,0.0,0,1,103.3,5,173,54.4,173,2,11,7,0,70,37,0.4,14.0
Bryan Thomas Jr.,158108,ED,S CAROLINA,12,4,0,289,0,,,0.0,,,0,0,,68.4,0,,0.0,0,0,0.0,0,0,0.0,118,4,2,0,0,0,0,,,0,0,,,1.1,,,0,0,,70.3,0,,40.0,2,0,0.0,0,2,50.0,183,6,3,0,0,0,0,0.0,
Donovan Westmoreland,158115,ED,KENNESAW,14,55,0,200,0,,,7.7,,,0,0,,63.3,0,,0.0,0,0,0.0,0,5,9.1,65,4,1,0,0,0,0,0.0,,0,2,2.8,80.0,31.9,10.0,8.0,0,0,0.0,53.7,0,52,0.0,0,0,118.8,4,43,78.2,135,4,4,5,0,76,55,1.9,19.0
DQ Smith,158116,S,S CAROLINA,11,402,0,289,0,6.9,90.0,96.9,13.0,11.7,0,0,0.0,54.4,0,24,16.7,2,0,112.5,9,123,30.6,127,0,10,10,0,110,72,0.9,12.2,0,2,5.8,77.8,98.3,30.3,23.6,0,1,11.1,73.7,1,22,11.1,2,0,62.7,7,228,56.7,232,2,14,9,0,77,44,0.4,11.0
Jamaal Whyce Jr.,158124,DI,MARSHALL,11,2,0,214,1,,,1.3,,,0,0,,57.9,0,,33.3,1,0,0.0,0,1,50.0,76,0,1,0,0,0,0,0.0,,0,0,,,1.1,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,50.0,94,0,0,0,0,0,0,0.0,
Kajuan Banks,158125,CB,USF,4,58,0,327,0,3.0,100.0,100.0,9.0,9.0,0,0,0.0,55.1,0,5,0.0,0,0,87.5,1,10,17.2,10,1,1,1,0,5,2,0.6,5.0,0,2,10.6,77.8,94.0,6.7,5.2,0,1,11.1,71.5,0,20,33.3,2,1,94.4,7,47,81.0,50,2,2,9,0,60,19,1.3,8.6
Emory Floyd,158127,CB,APP STATE,13,486,0,108,1,13.0,63.0,100.0,7.6,4.8,0,3,11.1,50.5,0,47,0.0,0,2,109.0,17,137,28.2,137,1,15,27,1,273,78,2.1,16.1,0,1,16.5,56.0,100.0,17.1,9.6,0,5,20.0,69.3,0,43,11.1,2,2,110.9,14,248,51.0,248,4,15,25,2,213,65,0.9,15.2
Fisher Camac,158132,ED,VIRGINIA,14,4,0,335,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,73,4,1,0,0,0,0,,,0,1,,,2.8,,,0,0,,62.8,0,,0.0,0,0,0.0,0,3,75.0,109,1,0,0,0,0,0,0.0,
SaVeon Brown,158149,CB,BUFFALO,12,316,0,126,0,10.3,27.3,90.2,22.0,6.0,0,2,18.2,70.0,0,8,33.3,1,0,39.6,3,74,23.4,82,1,2,11,0,8,15,0.1,2.7,0,1,8.6,65.2,85.3,12.1,7.9,0,2,8.7,51.9,0,45,13.3,2,2,104.6,15,186,58.9,218,5,12,23,1,186,109,1.0,12.4
Dillon Moore,158152,LB,W MICHIGAN,14,81,0,347,0,,,74.1,,,0,0,,65.5,0,,100.0,1,0,0.0,0,20,24.7,27,0,0,0,0,0,0,0.0,,0,1,6.3,75.0,83.6,14.7,11.0,0,0,0.0,36.9,0,15,0.0,0,0,106.3,3,46,56.8,55,0,2,4,0,40,14,0.9,13.3
Peter Manuma,158178,S,HAWAII,13,463,0,180,1,1.8,33.3,92.5,46.5,15.5,0,1,16.7,69.8,0,64,11.1,1,0,76.4,2,98,21.2,106,0,7,6,0,67,66,0.7,33.5,0,5,19.1,57.9,100.0,24.7,14.3,2,5,26.3,62.3,0,62,9.5,2,3,142.0,11,292,63.1,292,5,14,19,4,322,114,1.2,29.3
