player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Michael Kern,190246,P,CAL,11,40,40,3.86,37.55,40.65,5.8,0,0,8,16,130,66.5,12,60,2,0,27.5,64,11,40,154.21,1502,3,1626
Ryan Harris,190373,K,WASH STATE,13,53,53,3.96,38.3,40.43,5.9,0,0,18,21,341,62.4,19,60,2,0,17.0,53,9,53,209.79,2030,3,2143
Jakob Anderson,190475,P,RUTGERS,11,33,33,3.8,41.79,44.18,11.8,0,0,7,18,278,75.9,10,68,2,0,15.2,59,5,33,125.47,1379,1,1458
Liam Dougherty,190806,P,HOUSTON,13,53,53,4.07,36.55,44.08,15.9,1,0,3,19,182,74.2,18,60,8,0,28.3,239,15,54,215.75,1937,8,2336
David Dellenbach,190931,K,OHIO,1,1,1,3.37,21.0,21.0,,0,0,0,0,259,60.0,1,21,1,0,0.0,0,0,1,3.37,21,0,21
Zac Chapeau,191028,P,C MICHIGAN,2,3,3,3.24,33.67,40.33,10.0,0,0,0,0,134,58.0,0,50,1,0,66.7,20,2,3,9.71,101,0,121
Drew Miller,191153,P,GEORGIA,1,6,6,4.14,44.0,48.0,2.0,0,0,1,2,173,57.1,3,54,0,0,33.3,4,2,6,24.81,264,1,288
Baylor Hayes,192135,QB,TULSA,1,1,1,3.98,22.0,22.0,,0,0,1,0,320,60.0,0,22,0,0,0.0,0,0,1,3.98,22,0,22
Chase Leon,192324,P,USF,11,37,37,3.69,37.86,43.62,21.6,0,1,7,13,327,69.3,17,56,7,1,21.6,173,8,37,136.38,1401,2,1614
Oscar Doyle,192649,P,BOISE ST,14,56,56,3.83,40.13,43.59,7.2,0,0,8,29,120,75.8,18,59,1,0,23.2,94,13,56,214.22,2247,5,2441
Nick McLarty,193186,P,OHIO STATE,1,1,1,4.3,45.0,45.0,,0,0,0,1,260,60.0,0,45,0,0,0.0,0,0,1,4.3,45,0,45
Tomas O'Halloran,193251,P,E CAROLINA,7,21,21,3.64,38.05,42.14,16.5,0,0,5,10,156,48.8,6,53,1,0,19.0,66,4,21,76.38,799,1,885
Blake Doud,198072,P,ALABAMA,13,53,53,3.82,38.51,41.6,11.1,0,0,9,22,103,64.3,18,60,8,0,24.5,144,13,53,202.48,2041,1,2205
Fuller Shurtz,198208,P,BYU,1,1,1,4.12,41.0,41.0,,0,0,0,1,128,60.0,1,41,0,0,0.0,0,0,1,4.12,41,0,41
Lachlan Carrigan,198756,P,MEMPHIS,13,46,46,3.85,41.46,43.24,3.7,0,0,7,27,218,69.4,21,55,3,0,13.0,22,6,46,176.92,1907,3,1989
Bailey Ettridge,198918,P,NEVADA,11,47,47,3.79,41.11,44.7,9.2,0,0,10,20,239,69.4,21,62,1,0,29.8,129,14,47,178.17,1932,2,2101
David Barker,198955,K,NEW MEX ST,1,6,6,3.98,40.5,44.5,6.0,0,0,0,1,242,64.7,2,55,1,0,66.7,24,4,6,23.88,243,0,267
Grayson Miller,199030,K,OKLAHOMA,12,59,59,3.69,39.85,45.85,9.8,1,0,10,13,261,69.1,30,66,6,0,40.7,234,24,60,217.9,2351,6,2705
Cameron Brown,199406,P,UNLV,14,47,47,3.6,40.6,43.19,4.8,0,0,13,14,325,64.8,18,71,4,0,27.7,62,13,47,168.98,1908,3,2030
Luke Goater,199434,P,USF,3,9,9,3.75,34.0,36.22,,0,0,2,2,327,61.7,2,46,4,0,0.0,0,0,9,33.78,306,1,326
Andy Quinn,199610,K,BOSTON COL,2,2,2,3.56,55.0,55.0,,0,0,0,0,121,61.5,1,68,2,0,0.0,0,0,2,7.12,110,0,110
Archie Wilson,199793,P,NEBRASKA,11,37,37,3.64,38.27,39.43,3.8,0,0,5,16,238,47.0,13,58,9,1,16.2,23,6,37,134.74,1416,1,1459
Brady Davidson,199832,QB,N ILLINOIS,2,2,2,3.45,37.0,47.0,,0,0,1,0,254,61.0,1,48,0,0,0.0,0,0,2,6.89,74,1,94
Curtis Gerrand,199934,P,SM HOUSTON,12,64,64,3.89,40.05,42.97,7.7,0,0,12,29,281,65.4,22,72,2,0,29.7,147,19,64,249.22,2563,2,2750
Tashi Dorje,200183,P,S DIEGO ST,3,4,4,4.07,46.25,48.5,4.5,0,0,0,2,284,53.2,0,60,0,0,50.0,9,2,4,16.27,185,0,194
Billy Gowers,204034,P,HAWAII,13,49,49,4.24,40.35,46.24,15.6,0,0,3,16,180,93.2,25,67,12,0,32.7,249,16,49,207.58,1977,2,2266
Brek Schultz,204118,K,LA LAFAYET,1,1,1,4.19,48.0,48.0,,0,0,0,1,207,60.0,0,48,0,0,0.0,0,0,1,4.19,48,0,48
Tom Weston,204165,P,MINNESOTA,13,65,65,3.9,38.57,42.58,10.6,0,0,9,17,225,81.1,26,59,18,0,26.2,181,17,65,253.27,2507,4,2768
Cal Joseph,204442,P,WAKE,12,63,63,3.89,35.44,38.13,10.8,1,0,4,36,339,69.6,21,55,9,0,19.0,129,12,64,244.98,2233,2,2402
Matt McKenzie,204620,P,ARIZONA ST,6,12,12,3.53,32.58,34.58,24.0,0,0,1,6,110,52.2,2,46,4,0,8.3,24,1,12,42.31,391,0,415
Conor Donaghy,204923,P,JVILLE ST,13,52,52,3.9,37.15,39.56,6.5,0,0,11,23,196,67.9,17,57,5,0,19.2,65,10,52,202.84,1932,3,2057
Jake Stoeckel,204973,P,KENT STATE,3,10,10,3.54,38.3,38.2,-0.3,0,0,3,2,201,56.8,3,53,2,0,30.0,-1,3,10,35.43,383,0,382
Oscar Bird,205069,P,OLE MISS,15,41,41,3.84,43.61,45.95,5.4,0,0,7,11,226,85.7,16,64,8,0,34.1,76,14,41,157.37,1788,1,1884
Nathan Tiyce,205090,P,MISS STATE,8,12,12,4.16,37.33,39.0,,0,0,5,5,227,53.4,7,54,1,0,0.0,0,0,12,49.89,448,1,468
Daniel Hughes,205202,P,NEW MEXICO,12,41,41,3.95,43.15,45.44,3.6,0,0,7,16,241,67.5,14,64,1,0,36.6,54,15,41,161.75,1769,2,1863
Jake Ference,205289,P,N ILLINOIS,7,30,30,3.73,39.87,43.67,15.7,0,0,9,10,254,66.9,6,61,4,0,20.0,94,6,30,111.91,1196,1,1310
Jack Murley,205391,P,SO MISS,9,24,24,3.69,33.33,36.54,2.4,0,0,6,3,296,62.1,16,50,5,0,29.2,17,7,24,88.58,800,3,877
Anthony Ruggles,205422,K,TOLEDO,1,3,3,2.93,31.33,36.0,4.7,1,0,0,0,316,58.2,1,38,0,0,100.0,14,3,4,8.78,94,0,108
Isaac Lovison,207800,P,ARIZONA,11,35,35,4.1,39.4,42.6,7.4,0,0,5,17,109,68.5,15,62,3,0,20.0,52,7,35,143.67,1379,3,1491
