player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Carson Rhodes,184838,C,IOWA STATE,2,2,1,59.5,3.36,32.0,24.0,0,0,193,54.6,119,2,0,0,100.0,48,3.36,0
Gage Hurych,184850,K,OREGON,9,31,31,68.1,3.8,24.1,19.8,0,6,264,85.1,2110,5,0,0,16.1,99,117.72,20
Mathias Brown,184867,K,S JOSE ST,12,57,49,64.6,3.77,27.4,23.9,0,4,285,82.3,3685,24,0,0,42.1,573,184.62,29
Stone Harrington,184899,K,TEXAS TECH,14,102,102,70.3,4.1,24.3,16.5,0,8,315,92.0,7170,15,0,0,14.7,247,418.23,78
Keelan Anderson,184942,K,WYOMING,3,4,2,39.8,3.73,40.0,0.0,0,0,351,67.8,159,1,2,0,25.0,0,7.45,2
Erik Sandvik,184970,K,WYOMING,3,7,7,61.3,3.57,23.0,19.3,0,2,351,58.2,429,4,0,0,57.1,77,24.97,1
Sean O'Haire,185289,K,MARYLAND,1,6,5,62.5,3.42,40.3,41.3,0,0,215,68.5,375,4,0,0,66.7,165,17.1,2
Stewart McDonald,185505,K,MO STATE,4,12,12,64.4,3.85,25.2,21.0,0,2,230,62.8,773,6,0,0,50.0,126,46.14,3
Philip Noyes,188259,P,MARYLAND,7,38,35,59.1,3.88,27.2,21.0,0,3,215,50.1,2246,27,0,0,71.1,566,135.94,8
Josh Placzek,188675,K,INDIANA,1,5,5,57.8,3.61,27.0,19.8,0,0,190,66.4,289,5,0,0,100.0,99,18.06,0
Quinn Warren,188677,K,INDIANA,9,56,53,66.0,3.87,25.2,20.1,0,1,190,83.6,3696,21,0,0,37.5,423,205.37,33
Cosme Salas,189393,K,DUKE,9,46,44,67.0,4.0,25.5,20.9,0,4,154,84.8,3083,7,1,0,15.2,146,175.81,34
Andrew Nelms,189423,K,FAU,12,72,62,63.6,3.81,27.4,15.1,0,2,165,83.0,4579,20,5,0,27.8,301,236.39,47
James Whatley,189429,K,S ALABAMA,1,1,0,45.0,,35.0,,0,0,288,59.7,45,0,0,0,0.0,0,0.0,0
Sam Keltner,189550,K,SMU,13,76,73,65.3,3.8,25.5,19.4,0,3,287,80.9,4963,30,1,0,39.5,582,277.14,42
Patrick Durkin,189571,K,TULANE,14,81,74,70.2,4.05,25.4,16.2,0,5,319,88.6,5687,6,1,0,7.4,97,299.41,69
Ethan Head,189577,K,W VIRGINIA,7,26,25,61.3,3.72,27.3,24.2,0,5,343,68.3,1593,15,0,0,57.7,363,92.89,5
Michael Salgado-Medina,189628,K,ARIZONA,1,1,0,10.0,,55.0,0.0,0,0,109,60.1,10,1,1,0,100.0,0,0.0,0
John Hohl,189702,K,NEBRASKA,12,54,53,64.5,3.9,25.2,17.3,0,5,238,71.8,3483,21,0,1,38.9,364,206.87,26
John Hoyet Chance,189821,P,LA TECH,13,65,62,71.1,4.01,24.8,16.0,0,0,208,90.7,4624,5,0,0,7.7,80,248.5,58
Beckham Sunderland,190113,K,MICHIGAN,13,71,70,68.2,4.1,24.0,19.4,0,8,222,87.3,4840,16,0,0,22.5,311,286.91,47
Charlie Von Der Meden,190178,K,ARKANSAS,1,1,0,9.0,,61.0,0.0,0,0,111,59.8,9,1,1,0,100.0,0,0.0,0
Brody Boehm,190211,K,BALL ST,1,3,3,61.3,3.61,29.7,26.0,0,0,117,61.3,184,3,0,0,100.0,78,10.83,0
Spencer Barnett,190241,K,TEXAS,3,19,18,61.6,4.01,28.0,23.6,0,3,311,57.8,1170,10,0,0,52.6,236,72.25,6
Martin Connington,190317,K,MICH STATE,9,39,32,62.9,4.02,25.3,14.3,0,3,223,78.4,2453,12,2,0,30.8,172,128.75,23
Ryon Sayeri,190356,K,USC,13,89,84,68.9,3.76,25.9,27.2,0,2,326,88.9,6129,19,0,0,21.3,516,315.98,64
Ryan Harris,190373,K,WASH STATE,13,65,59,65.4,3.78,25.7,19.0,0,2,341,80.4,4249,20,1,1,30.8,380,223.09,40
Everett Scott,190423,K,E CAROLINA,10,53,48,63.2,3.82,26.4,20.9,0,3,156,70.5,3349,23,2,0,43.4,481,183.5,23
Dane Pizzaro,190487,K,RUTGERS,1,1,0,6.0,,64.0,,0,0,278,59.8,6,0,1,0,0.0,0,0.0,0
Jack Scullion,190491,K,RUTGERS,12,67,66,63.6,3.88,25.8,19.5,0,8,278,72.1,4263,24,0,0,35.8,468,256.07,33
Jake Weinberg,190578,K,FLORIDA ST,12,64,57,67.6,3.96,26.9,5.9,0,1,167,87.8,4328,7,3,0,10.9,41,225.78,56
Miguel Arenas,190601,K,N TEXAS,8,46,44,60.5,3.83,27.3,16.9,0,5,251,63.2,2782,19,0,0,41.3,321,168.5,20
Lucas Glassburn,190660,K,TEMPLE,1,1,0,12.0,,53.0,0.0,0,0,306,60.0,12,1,1,0,100.0,0,0.0,0
Lucas Osada,190857,K,ILLINOIS,2,4,4,64.8,3.82,41.5,45.0,0,0,187,67.8,259,3,0,0,75.0,135,15.26,1
Nick Konieczynski,190866,K,NC STATE,6,31,31,65.4,3.97,25.0,21.1,0,0,248,76.7,2026,15,0,0,48.4,317,123.14,15
David Dellenbach,190931,K,OHIO,13,70,62,61.1,3.74,27.7,22.2,0,17,259,59.4,4278,30,0,0,42.9,667,231.58,19
Zac Chapeau,191028,P,C MICHIGAN,3,3,1,28.3,4.07,43.3,0.0,0,0,134,53.4,85,2,2,0,66.7,0,4.07,1
Mike Baker,191179,K,OLE MISS,3,5,4,64.2,4.03,26.8,23.5,0,0,226,52.6,321,2,0,0,40.0,47,16.12,1
William Wilkinson,191209,K,MISS STATE,1,1,0,38.0,,27.0,0.0,0,0,227,60.0,38,1,0,0,100.0,0,0.0,0
Caleb Ojeda,191222,K,OREGON ST,11,37,34,61.3,3.74,26.1,25.3,0,5,265,69.1,2269,22,0,0,59.5,557,126.99,9
Liam Padron,191261,K,TEXAS A&M,2,5,5,60.4,3.74,20.4,17.3,0,1,312,59.5,302,3,0,0,60.0,52,18.68,1
Chase Leon,192324,P,USF,6,11,11,67.2,3.71,28.0,,0,0,327,72.9,739,0,0,0,0.0,0,40.85,9
Evan Scruggs,193116,K,GA SOUTHRN,12,63,58,64.3,3.78,27.1,26.0,0,4,174,70.5,4053,30,0,0,47.6,781,219.51,26
Spencer Sullins,193172,P,UCONN,1,1,1,58.0,3.88,37.0,30.0,0,0,146,60.0,58,1,0,0,100.0,30,3.88,0
Keaton Emmett,193901,K,NEVADA,12,49,47,69.2,4.14,26.3,25.0,0,3,239,83.1,3391,6,0,0,12.2,150,194.63,39
Paddy McAteer,197033,K,TROY,14,65,53,64.1,3.81,25.9,17.8,0,4,318,73.4,4168,22,2,0,33.8,392,201.92,35
John McGuire,198150,P,AUBURN,1,2,2,65.5,3.68,30.0,,0,0,115,54.6,131,0,0,0,0.0,0,7.36,1
Brunno Reus,198435,K,FLORIDA ST,3,9,7,59.6,3.92,32.7,0.0,0,0,167,78.2,536,2,2,0,22.2,0,27.41,7
Caden Buhr,198553,K,IOWA,1,1,1,69.0,4.08,25.0,,0,0,192,60.1,69,0,0,0,0.0,0,4.08,1
Carson Hilbert,198699,K,LOUISVILLE,1,2,2,69.0,3.55,17.5,8.0,0,0,210,65.8,138,1,0,0,50.0,8,7.1,1
Baylen Woodman,198850,K,MIDDLE TN,12,55,50,64.0,3.91,26.2,14.7,0,4,224,74.2,3520,15,2,0,27.3,220,195.33,32
Kyah Francone,198948,K,NEW MEX ST,3,14,14,59.0,3.64,23.4,18.3,0,6,242,59.6,826,8,0,0,57.1,146,51.02,0
Nikola Dugandzic,199017,P,NWESTERN,5,21,19,60.9,3.78,28.7,24.3,0,2,256,68.2,1279,12,0,0,57.1,291,71.9,6
Sam Bisesi,199263,K,TCU,2,6,6,65.2,3.77,25.0,25.0,0,4,305,71.7,391,1,0,0,16.7,25,22.63,1
Cooper Helmke,199371,K,TULANE,1,2,2,66.0,4.27,25.0,,0,1,319,62.0,132,0,0,0,0.0,0,8.53,1
Dillon Curtis,199453,K,UTAH,13,91,86,69.3,3.87,24.4,18.9,0,5,328,88.7,6310,19,0,0,20.9,359,332.57,67
Jack Cassidy,199551,K,W KENTUCKY,13,72,70,68.9,4.02,25.9,27.4,0,5,346,85.6,4959,15,0,0,20.8,411,281.66,51
Andy Quinn,199610,K,BOSTON COL,10,36,32,65.9,3.77,26.2,19.3,0,6,121,77.0,2374,11,0,0,30.6,212,120.6,19
Archie Wilson,199793,P,NEBRASKA,1,1,1,51.0,2.58,34.0,20.0,0,0,238,60.0,51,1,0,0,100.0,20,2.58,0
Matthew Parker,199908,K,PENN STATE,1,1,1,64.0,3.82,23.0,22.0,0,0,266,60.1,64,1,0,0,100.0,22,3.82,0
Scott Starzyk,200092,K,ARKANSAS,1,1,0,15.0,,55.0,,0,0,111,59.8,15,0,1,0,0.0,0,0.0,0
Rhett Armstrong,200112,K,BAYLOR,12,70,65,65.8,3.82,24.4,19.3,0,6,118,85.8,4604,27,0,0,38.6,522,248.58,36
Owen Simpson,200212,K,UAB,12,60,51,60.0,3.74,30.8,24.1,0,5,321,73.3,3600,28,1,0,46.7,674,190.54,27
Zachary Robbins,200257,P,UTAH ST,10,53,49,63.1,3.76,27.2,20.6,0,9,329,70.5,3343,17,1,0,32.1,350,184.01,23
London Bironas,200313,K,STANFORD,1,1,0,81.0,,45.0,36.0,0,0,300,60.1,81,1,0,0,100.0,36,0.0,0
Erik Schmidt,200344,K,NOTRE DAME,10,69,66,68.2,4.01,25.3,20.6,0,1,258,82.2,4707,11,0,0,15.9,227,264.83,54
Sean Olvera-Harle,204045,P,HAWAII,6,32,31,63.1,3.91,24.5,16.7,0,3,180,55.0,2018,15,0,0,46.9,250,121.3,11
Chase Smith,204072,K,IOWA STATE,6,28,24,56.6,3.61,28.8,20.8,0,3,193,50.6,1585,23,1,0,82.1,478,86.7,1
Dane Efird,204084,K,KANSAS,1,2,1,65.0,3.63,30.0,,0,0,198,65.8,130,0,0,0,0.0,0,3.63,1
Brek Schultz,204118,K,LA LAFAYET,4,10,9,57.8,3.78,24.8,12.5,0,5,207,61.8,578,4,0,0,40.0,50,34.02,1
Daniel Jackson,204149,K,MINNESOTA,1,3,0,55.7,,19.0,6.0,0,0,225,53.4,167,2,0,1,66.7,12,0.0,0
Josh Hamel,204222,K,DOMINION,4,18,18,67.3,4.08,21.9,20.4,0,0,263,78.9,1212,11,0,0,61.1,224,73.48,7
Mikhail Iakovlev,204224,K,DOMINION,3,11,11,62.6,3.88,21.7,15.8,0,1,263,61.2,689,8,0,0,72.7,126,42.65,2
Noah McGough,204388,K,UCF,1,1,1,70.0,3.78,25.0,,0,0,323,60.1,70,0,0,0,0.0,0,3.78,1
Jaffer Murphy,204436,K,UTSA,13,88,71,65.8,3.81,26.6,22.0,0,1,331,81.6,5793,28,1,0,31.8,615,270.76,56
Charlie Reed,204479,K,CLEMSON,1,1,0,60.0,,35.0,30.0,0,0,140,60.0,60,1,0,0,100.0,30,0.0,0
Landon Shaffer,204495,K,GA TECH,1,1,1,60.0,3.78,27.0,22.0,0,0,176,60.0,60,1,0,0,100.0,22,3.78,0
Peter Notaro,204601,K,ALABAMA,2,5,5,64.8,3.78,18.6,9.5,0,1,103,66.4,324,2,0,0,40.0,19,18.9,2
Dominic De Freitas,204611,K,APP STATE,5,7,4,48.9,4.0,32.7,11.3,0,1,108,70.2,342,3,2,0,42.9,34,16.01,2
Philippe Laforge,204782,K,COAST CAR,13,64,53,65.2,3.92,26.5,23.4,0,0,141,83.9,4174,21,3,1,32.8,491,207.89,38
Connor Ferguson,204871,K,GEORGIA,1,1,1,65.0,4.09,16.0,16.0,0,0,173,60.1,65,1,0,0,100.0,16,4.09,0
Conor Donaghy,204923,P,JVILLE ST,3,13,13,58.4,3.94,32.1,26.8,0,3,196,53.8,759,9,0,0,69.2,241,51.21,0
Daniel Kinney,204968,K,KENNESAW,2,5,4,64.8,3.73,25.6,17.5,0,0,200,63.0,324,2,0,0,40.0,35,14.92,3
Lorcan Quinn,205023,K,MARSHALL,12,71,67,71.4,3.86,24.8,24.3,0,1,214,93.1,5070,9,0,0,12.7,219,258.91,61
Blake Sislo,205045,K,MICH STATE,1,1,1,43.0,3.36,25.0,,0,1,223,60.0,43,0,0,0,0.0,0,3.36,0
Justin Welch,205160,K,NAVY,1,2,1,58.0,3.48,30.0,,0,0,237,50.8,116,0,0,0,0.0,0,3.48,1
Max Kelley,205379,K,S CAROLINA,10,45,43,64.4,4.04,24.3,15.9,0,11,289,73.5,2900,14,0,0,31.1,223,173.58,18
Creighton Wilbanks,205393,K,SO MISS,1,1,1,73.0,3.6,25.0,,0,0,296,60.1,73,0,0,0,0.0,0,3.6,1
Anthony Ruggles,205422,K,TOLEDO,1,2,2,69.0,3.82,25.0,,0,0,316,65.8,138,0,0,0,0.0,0,7.63,2
William Weisberg,205453,P,USC,1,1,1,65.0,3.53,19.0,19.0,0,0,326,60.1,65,1,0,0,100.0,19,3.53,0
Carlos Arreola,205457,K,UTEP,1,1,0,11.0,,54.0,0.0,0,0,330,59.8,11,1,1,0,100.0,0,0.0,0
Justin Dewers,205497,K,VANDERBILT,4,16,16,70.8,3.94,23.5,18.3,0,0,333,77.5,1132,3,0,0,18.8,55,63.02,12
Oliver Robbins,206109,K,MISSOURI,13,59,59,65.0,3.8,23.8,18.9,0,11,229,74.7,3836,23,0,0,39.0,434,224.45,25
Tyler Prasuhn,207802,K,ARIZONA,1,2,2,73.5,3.55,25.0,,0,0,109,65.8,147,0,0,0,0.0,0,7.1,2
Tripp Bryant,207856,K,GA SOUTHRN,2,7,6,53.6,3.51,31.0,17.0,0,0,174,55.3,375,4,1,0,57.1,68,21.07,2
Grady Dangerfield,208846,K,TENNESSEE,2,4,4,70.0,3.9,29.0,22.0,0,0,307,67.8,280,1,0,0,25.0,22,15.58,3
