player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
John Hoyet Chance,189821,P,LA TECH,4,0,4,2,50.0,1,0,0.0,208,67.5,0,0,,3,3,100.0,0,0,0,,7,4,57.1,2,2,100.0
Makenzie Ryan,190023,P,LA MONROE,1,0,0,0,,0,0,,209,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Kian Afrookhteh,190029,K,COAST CAR,12,0,0,0,,5,4,80.0,141,82.4,0,0,,33,33,100.0,0,7,6,85.7,19,15,78.9,7,5,71.4
Davis Little,190092,K,S ALABAMA,5,0,0,0,,0,0,,288,49.2,0,0,,15,13,86.7,0,0,0,,1,1,100.0,1,1,100.0
Dylan Cunanan,190121,P,TOLEDO,12,0,1,0,0.0,3,2,66.7,316,79.3,0,0,,48,48,100.0,0,3,3,100.0,11,8,72.7,4,3,75.0
Martin Connington,190317,K,MICH STATE,11,0,3,1,33.3,1,0,0.0,223,69.3,0,0,,28,27,96.4,0,5,5,100.0,16,12,75.0,7,6,85.7
Ryon Sayeri,190356,K,USC,13,0,1,1,100.0,7,7,100.0,326,82.6,1,1,100.0,48,48,100.0,0,5,2,40.0,25,21,84.0,11,10,90.9
Connor Calvert,190365,K,WAKE,13,0,4,2,50.0,7,7,100.0,339,82.0,0,0,,33,32,97.0,0,2,1,50.0,22,18,81.8,9,8,88.9
Jacob Kauwe,190440,K,KENTUCKY,12,0,4,1,25.0,6,6,100.0,202,83.3,0,0,,32,32,100.0,0,4,4,100.0,17,13,76.5,3,2,66.7
Dane Pizzaro,190487,K,RUTGERS,2,0,1,0,0.0,0,0,,278,59.2,0,0,,2,2,100.0,0,0,0,,1,0,0.0,0,0,
Dawson Jones,190519,K,ARMY,12,0,0,0,,9,6,66.7,114,78.0,0,0,,36,35,97.2,0,6,4,66.7,20,15,75.0,5,5,100.0
Jake Weinberg,190578,K,FLORIDA ST,12,0,2,0,0.0,6,3,50.0,167,74.9,0,0,,46,46,100.0,0,8,6,75.0,19,12,63.2,3,3,100.0
Miguel Arenas,190601,K,N TEXAS,1,0,0,0,,0,0,,251,59.1,0,0,,7,7,100.0,0,1,0,0.0,1,0,0.0,0,0,
Lucas Glassburn,190660,K,TEMPLE,1,0,0,0,,0,0,,306,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Nick Konieczynski,190866,K,NC STATE,1,0,0,0,,2,0,0.0,248,54.5,0,0,,3,3,100.0,0,0,0,,3,1,33.3,1,1,100.0
Spencer Porath,190921,K,PURDUE,11,0,3,2,66.7,5,4,80.0,273,87.1,0,0,,24,24,100.0,0,3,3,100.0,17,15,88.2,6,6,100.0
David Dellenbach,190931,K,OHIO,8,0,0,0,,2,1,50.0,259,53.6,0,0,,29,26,89.7,0,4,3,75.0,6,4,66.7,0,0,
Matthew Schramm,190983,K,AKRON,7,0,0,0,,5,4,80.0,102,75.9,1,1,100.0,17,16,94.1,0,3,3,100.0,13,12,92.3,4,4,100.0
Tucker Cornelius,191126,K,ALABAMA,1,0,0,0,,0,0,,103,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Mike Baker,191179,K,OLE MISS,1,0,0,0,,0,0,,226,61.8,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Caleb Ojeda,191222,K,OREGON ST,10,0,1,1,100.0,7,1,14.3,265,59.6,0,0,,19,19,100.0,0,3,3,100.0,13,6,46.2,2,1,50.0
Connor Hawkins,191290,K,BAYLOR,11,0,4,3,75.0,8,5,62.5,118,88.7,0,0,,37,37,100.0,0,6,6,100.0,22,18,81.8,4,4,100.0
Jack Stevens,192045,K,WASH STATE,13,0,1,0,0.0,4,4,100.0,341,77.9,0,0,,33,33,100.0,0,8,6,75.0,19,16,84.2,6,6,100.0
Paddy McAteer,197033,K,TROY,2,0,2,1,50.0,0,0,,318,60.0,0,0,,0,0,,0,0,0,,2,1,50.0,0,0,
Robert Czeremcha,197894,K,FIU,3,0,0,0,,1,0,0.0,166,68.5,0,0,,12,12,100.0,0,2,2,100.0,3,2,66.7,0,0,
Jacob Medina,198046,K,AIR FORCE,6,0,0,0,,2,0,0.0,101,63.0,0,0,,26,26,100.0,0,2,1,50.0,6,3,50.0,2,2,100.0
Brunno Reus,198435,K,FLORIDA ST,2,0,0,0,,0,0,,167,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Jacob Hathaway,198826,K,MIDDLE TN,12,0,2,1,50.0,5,3,60.0,224,77.6,0,0,,27,27,100.0,0,2,2,100.0,14,11,78.6,5,5,100.0
Robert Meyer,198890,K,MISSOURI,11,0,0,0,,2,1,50.0,229,64.3,0,0,,38,36,94.7,0,5,3,60.0,14,10,71.4,7,6,85.7
David Barker,198955,K,NEW MEX ST,2,0,0,0,,1,1,100.0,242,58.8,0,0,,5,4,80.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Dillon Curtis,199453,K,UTAH,13,0,3,2,66.7,5,2,40.0,328,72.8,0,0,,71,68,95.8,0,5,5,100.0,15,11,73.3,2,2,100.0
Jack Cassidy,199551,K,W KENTUCKY,3,0,2,2,100.0,1,1,100.0,346,76.1,0,0,,0,0,,0,0,0,,3,3,100.0,0,0,
Matthew Parker,199908,K,PENN STATE,1,0,0,0,,0,0,,266,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Scott Starzyk,200092,K,ARKANSAS,12,0,3,2,66.7,6,3,50.0,111,82.3,0,0,,47,47,100.0,0,4,4,100.0,18,14,77.8,5,5,100.0
Erik Schmidt,200344,K,NOTRE DAME,9,0,0,0,,1,0,0.0,258,66.6,0,0,,42,41,97.6,0,2,0,0.0,3,0,0.0,0,0,
Canaan Moore,203979,K,BOISE ST,1,0,0,0,,0,0,,120,53.3,0,0,,4,4,100.0,0,1,1,100.0,2,1,50.0,1,0,0.0
Chase Smith,204072,K,IOWA STATE,5,0,0,0,,0,0,,193,66.8,0,0,,12,12,100.0,0,3,2,66.7,3,2,66.7,0,0,
Dane Efird,204084,K,KANSAS,1,0,0,0,,0,0,,198,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Luis Rodriguez,204106,K,KANSAS ST,12,0,2,1,50.0,2,2,100.0,199,84.6,1,1,100.0,42,42,100.0,0,8,7,87.5,15,13,86.7,2,2,100.0
Daniel Jackson,204149,K,MINNESOTA,1,0,0,0,,0,0,,225,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Trey Butkowski,204268,K,PITTSBURGH,11,0,0,0,,9,6,66.7,268,86.1,0,0,,44,43,97.7,0,9,9,100.0,23,20,87.0,5,5,100.0
Noah McGough,204388,K,UCF,1,0,0,0,,0,0,,323,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Jaffer Murphy,204436,K,UTSA,1,0,0,0,,0,0,,331,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Peter Notaro,204601,K,ALABAMA,2,0,0,0,,0,0,,103,64.3,0,0,,5,5,100.0,0,0,0,,0,0,,0,0,
Dominic De Freitas,204611,K,APP STATE,13,0,0,0,,14,8,57.1,108,84.3,0,0,,33,33,100.0,0,6,6,100.0,27,21,77.8,7,7,100.0
Philippe Laforge,204782,K,COAST CAR,4,0,2,1,50.0,2,1,50.0,141,63.4,0,0,,0,0,,0,0,0,,4,2,50.0,0,0,
Conor Donaghy,204923,P,JVILLE ST,1,0,0,0,,0,0,,196,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Daniel Kinney,204968,K,KENNESAW,4,0,1,1,100.0,1,1,100.0,200,60.6,0,0,,4,3,75.0,0,0,0,,7,6,85.7,5,4,80.0
Kaegan Kent,205017,K,LA TECH,3,0,0,0,,1,1,100.0,208,73.0,0,0,,9,9,100.0,0,1,1,100.0,2,2,100.0,0,0,
Lorcan Quinn,205023,K,MARSHALL,12,0,6,4,66.7,5,5,100.0,214,81.5,1,1,100.0,39,38,97.4,0,5,4,80.0,26,21,80.8,9,7,77.8
Blake Sislo,205045,K,MICH STATE,2,0,0,0,,0,0,,223,65.2,0,0,,6,6,100.0,0,0,0,,0,0,,0,0,
Creighton Wilbanks,205393,K,SO MISS,10,0,1,1,100.0,6,2,33.3,296,70.3,0,0,,33,33,100.0,0,2,2,100.0,14,9,64.3,5,4,80.0
Anthony Ruggles,205422,K,TOLEDO,1,0,0,0,,0,0,,316,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
William Weisberg,205453,P,USC,1,0,0,0,,0,0,,326,60.0,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Carlos Arreola,205457,K,UTEP,11,0,1,0,0.0,3,1,33.3,330,71.3,0,0,,28,27,96.4,0,1,1,100.0,6,3,50.0,1,1,100.0
Justin Dewers,205497,K,VANDERBILT,1,0,0,0,,0,0,,333,60.0,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Oliver Robbins,206109,K,MISSOURI,5,0,1,0,0.0,3,2,66.7,229,61.8,0,0,,3,3,100.0,0,0,0,,5,3,60.0,1,1,100.0
Tyler Prasuhn,207802,K,ARIZONA,1,0,0,0,,0,0,,109,60.0,0,0,,0,0,,0,1,0,0.0,1,0,0.0,0,0,
Tripp Bryant,207856,K,GA SOUTHRN,13,0,0,0,,5,2,40.0,174,77.7,0,0,,42,42,100.0,0,3,3,100.0,20,17,85.0,12,12,100.0
Cameron Smith,212456,K,OREGON ST,1,0,0,0,,1,0,0.0,265,60.0,0,0,,1,1,100.0,0,0,0,,1,0,0.0,0,0,
Danny Hagan,212546,K,LA MONROE,1,0,0,0,,0,0,,209,60.0,0,0,,0,0,,0,1,0,0.0,1,0,0.0,0,0,
Jacob Chambliss,212557,K,LA MONROE,4,0,0,0,,0,0,,209,48.9,0,0,,9,8,88.9,0,1,0,0.0,2,0,0.0,1,0,0.0
