team,market,book,line,over_odds
Michigan State,conference,DK,2.5,-120
Minnesota,conference,CZR,3.5,110
Minnesota,conference,DK,3.5,-110
Mississippi State,conference,CZR,2.5,100
Mississippi State,conference,DK,2.5,-105
Missouri,conference,CZR,4.5,110
Missouri,conference,DK,4.5,120
North Carolina State,conference,CZR,4.5,-160
North Carolina State,conference,DK,4.5,-180
Nebraska,conference,CZR,3.5,-125
Nebraska,conference,DK,3.5,-105
North Carolina,conference,CZR,2.5,100
North Carolina,conference,DK,2.5,-110
Northwestern,conference,CZR,2.5,-125
Northwestern,conference,DK,2.5,-125
Ohio State,conference,CZR,7.5,100
Ohio State,conference,DK,7.5,115
Oklahoma,conference,CZR,5.5,125
Oklahoma,conference,DK,5.5,115
Oklahoma State,conference,CZR,3.5,-170
Oklahoma State,conference,DK,3.5,-160
Ole Miss,conference,CZR,5.5,130
Ole Miss,conference,DK,5.5,130
Oregon,conference,CZR,7.5,110
Oregon,conference,DK,7.5,105
Penn State,conference,CZR,5.5,-160
Penn State,conference,DK,5.5,-175
Pittsburgh,conference,CZR,5.5,115
Pittsburgh,conference,DK,5.5,115
Purdue,conference,CZR,2.5,170
Purdue,conference,DK,2.5,150
Rutgers,conference,DK,2.5,-130
SMU,conference,CZR,6.5,-105
SMU,conference,DK,6.5,-115
South Carolina,conference,CZR,3.5,-130
South Carolina,conference,DK,3.5,-140
Stanford,conference,CZR,1.5,-160
Stanford,conference,DK,2.5,144
Syracuse,conference,CZR,2.5,-110
Syracuse,conference,DK,2.5,-120
TCU,conference,CZR,4.5,100
TCU,conference,DK,4.5,110
Tennessee,conference,CZR,4.5,-125
Tennessee,conference,DK,4.5,-140
Texas A&M,conference,DK,5.5,-120
Texas,conference,CZR,6.5,-140
Texas,conference,DK,6.5,-130
UCF,conference,CZR,3.5,-125
UCF,conference,DK,3.5,-115
UCLA,conference,CZR,3.5,-150
UCLA,conference,DK,3.5,-150
USC,conference,CZR,5.5,-110
USC,conference,DK,5.5,105
Utah,conference,CZR,6.5,120
Utah,conference,DK,6.5,110
Vanderbilt,conference,CZR,3.5,100
Vanderbilt,conference,DK,3.5,100
Virginia,conference,CZR,5.5,110
Virginia,conference,DK,5.5,120
Virginia Tech,conference,CZR,4.5,-115
Virginia Tech,conference,DK,4.5,105
West Virginia,conference,CZR,3.5,-105
West Virginia,conference,DK,3.5,100
Wake Forest,conference,DK,3.5,100
Washington,conference,CZR,5.5,130
Washington,conference,DK,5.5,134
Wisconsin,conference,CZR,4.5,110
Wisconsin,conference,DK,4.5,120
